6619500	3627,21110,7955,11465,21067,28370
5952250	12285,11977,6827,5067,5094
145750	11578
2350750	25386,24788
12008000	24274,14261,4960,26618,25618,17647
8555500	4510,18180,25372
425500	8313,22094,17506
4853750	25596,19955
8430000	8637
4256500	12588,13254,4694,3800,2410,29149,19897
9039750	22489,5863,9563,16406,7105,11196,3627,2257,3228,25092,15639,22887,14580,13087,11983,24978,26005,4709,1293
4115500	14470,6731
12215000	15831,28280,15302,16406,23779,7868,14261,9363,15639,4949,12352,5336,13592,5043,25570,7975,27791,8689,21121,8637,27711,14942,11670,6672,679,21796,3164,7473,21914,11176
591750	27231,5416,20466
11947000	9522,25651,14020,15233,11080,17401,28967,13103,7703,4262,24417,10480,2322
5256500	20338,12165,20679,614
7367000	15584,20297,21336,17945,16540,11083,13607,143
4956000	2042
7927750	15065,18624,12674,26288,3658,25372,949,20411
9982500	20800,21686,542
4606000	14887
6572500	29099
10443000	10570,24151,28951,21110,13270,13460,27135,4571,24969,2373,25488,18730,13592,2739,12271,5254,11465,10329,14482,23628,2042,8689,5441,1392,19466,29099,28378
1710500	2729,25526,7868,1481,29547,12352,28065,10151,21246,14780
9706000	2683,23260,10180,15114,28653,20297,915,18508,12168,22094,5966,22444,13962,9612,15943,742,19539,4779,4102,6039,18600,23884,28360,28181,2198,1773,6740,21865,21869,5067,10329,7978,849,12068,7179,13765,949,29203,16476,19431,25933,6364,5470,22736,9275,23340,11487,16823,10780,29099,1849,15192,679,1257,15269,29313
3913250	5845,22380,9948,7105,3626,18213,14020,12394,9242,27817,10136,8689,13240,8409,9230
11307500	23272,22359,20300,17446,27711
10063000	2257,21110,22889,20207,22393
4195500	22246,18097,9802
239250	19973,16421,7868,3068,12647,28481,3619
5292000	19974,1131,21672,21345,25669,11670
1194750	8034,3627,7868,16836,12737,21092,7827,23103,7400,7976,27052,4059,6543,8637,25169,2669,20551,24669,679,5306,83
5108000	2683,155,10532,21672,4254,29547,14020,19673,647,22547,11080,22393,14580,3371,23628,6672,15094
1617250	5077,12283,19405,9633,2217,21533,19632,19514,18002,28410,8637,29099,20579,21919
10018000	15874,16406,26788,2655,5429
8145500	21883
567250	
12371000	2254,8628,14261,12737,17514,1222,14794,12352,12394,24541,25570,22359,14294,25086,17767,23896,11776
6867750	2655
1319000	599,5797,10449,1237
1832000	10916,12287,7868,11939,14469,25687,10151
3188000	18025,17429,4993
4189500	5912,9165
5139250	
6099250	7868,11823,13665,1721,11397,13244,19335
2050000	21930,16722,5053,21659,5620,17960,21336,26127,12329,14242,12717,11022,9340,24377,29385,9802,29473,15231,27856,10329,26866,27791,16499,8637,22533,18996,20579,5306,4324,14415
2316250	15065,18180,4571,6621,28662,26288,10329,949,10948,21950,679,9688
10533750	19974,17945,14261,17327,24601,13451,29099,15721
10915250	23556,12395,2504,13873,18075
6458000	
4557250	7868
6250250	16564
8909750	22342,28270,21110,11687,24054,15681
7116750	9486
1815750	28391
1971500	7230,8316,25329,7692,9340,11000,7096,24070,7654,22043,26860,19166,14415
5170500	7868,14020,27092,18730,12557,6096,10232,11679
11111500	14623,4216
6996000	6255,13754,12165,18213,27198
7016500	26546,27407
3335000	325
6264750	1415
9202750	21110
10302500	24402,27897
3114000	22268,23928,13112,21110,20484,11345,21092,2655,15259,6828,2319,13135,5429,8689,20182,21916,20536
9015000	
452750	24392,15638,14796,21865
3404000	22246,28653
1063000	14165,530,22749,15943,24929,23214,19216,4443,16186,24196,16653,22280,15019,20551,28481
1724000	
8869250	11203,8689
6126750	25117,24977,25169,15019
6766250	9109,599,12285,6988,29547,27186,29203,4307
1579250	7963,9906,17438,25424,13020,6190,7743,4078,24194,14969,4544,4939,15721
764750	20425,22749
2910750	19828,1372
12417500	
8156500	27373,19974,17167,20297,1831,4551,2198,6447,4078,6951,10983,21889
418500	15138
3245250	2257,18730,22393,23878
4423500	11543
8195000	21672,8943,10970,11080,5185,21865,26159,5306
11632250	21110,15773,4819,25022,3555
5034000	12220,21336,9441,27151,12316,18730,7465,3723,3698,28347,13087,10329,10584,10176,10232,16550,17680,10840,11176
8845250	22484,16722,13070,26546,23928,9563,16857,28035,23187,6550,7868,554,21110,25631,21789,11329,23103,24565,6438,12394,12395,1771,15189,15446,29265,5799,24196,13493,11396,26714,8689,9620,17297,1966,24977,26464,19855,4939,17214,24726,11776,24020
3168000	19742
11493000	29022,7868,554,22727,12453,22828,8689
9079500	7868,11022,4691,25272,7208,12271,25669,27314,15741
8730250	21657,11687,6597,11080,12068,24601
65500	9549,15639,21078,6050,21840,18843,29202,18801,21758,5443,2999,15018,29099,28855
6515500	21657,6319,24015,18235,6805,23340
832250	1831,26670,27791,29330,20043,28859
10054250	20297,20846,20316,10970,9226,1079,13020,4667,18034,8425,19660
4503500	17820,12220,14989,3627,11936,4949,26754,24193
11142000	12352,18597,17407,5833,29099,1493
4376250	24572,9929,17945,19993,2826,11029,2655,28368,27407,14119,19379,8689,2367,21225,27637
5901250	22482,18937,23499,1010,6592,18730,7262,19277,11073,22280,11330,14575,12606
10521000	25770,27255,17920,13779,2805,7868,10225,9471,10060,18612,6652,15761
1561250	251,13891,12168,22973,7105,20425,3627,22323,16603,14261,1481,15639,21511,4949,12352,12557,15766,22393,11465,24201,17706,8689,3804,679
7568750	12285,11977,2217,1831,2655,8327,4389,3458,4329,15748
2182750	2257,18758,18808,8689,19643
190500	
3977750	23273,21869,13975
10401500	19421,13258,6868,24929,12189,11080,27509,8816,24541,2899,27791,18805
4814750	7868
3226500	23267,22240,18741,4230,23863,12394,924,25372,16474,8689,14071
3588500	12329,24844,18024,29473,12352,17261,8637,29095,7432,4644
6247250	19973,17626,3686,16918,23245,21334,15814,18832,28631,19615,23122,4571,13793,2942,22680,2739,12213,14580,25618,11447,28626,11849,768,22736,22759,11670,7600,993
10885750	
